,0
1446,-5.4
1447,-5.0
1448,-2.8000000000000003
1449,-4.6000000000000005
1450,-1.6
1451,1.8
1452,-1.4000000000000001
1453,-10.8
1454,-4.2
1455,-19.0
1456,-21.0
1457,2.8000000000000003
1458,-7.0
1459,-12.0
1460,-4.2
1461,0.8
1462,-5.0
1463,-10.8
1464,-1.8
1465,1.0
1466,-6.0
1467,-6.6000000000000005
1468,-10.8
1469,-3.4000000000000004
1470,-6.0
1471,0.4
1472,-13.8
1473,-20.400000000000002
1474,-8.8
1475,-17.0
1476,-4.2
1477,-4.4
1478,-1.8
1479,-2.6
1480,-7.6000000000000005
1481,-4.0
1482,-5.800000000000001
1483,7.6000000000000005
1484,0.4
1485,-9.0
1486,-16.8
1487,-11.0
1488,0.8
1489,-2.2
1490,-9.8
1491,1.2000000000000002
1492,-22.400000000000002
1493,-19.6
1494,-7.0
1495,-6.0
1496,-8.6
1497,5.800000000000001
1498,-8.8
1499,-4.2
1500,-10.0
1501,-5.800000000000001
1502,-2.8000000000000003
1503,-1.2000000000000002
1504,-3.8000000000000003
1505,-9.0
1506,-6.6000000000000005
1507,-11.600000000000001
1508,5.800000000000001
1509,-8.4
1510,-1.8
1511,-3.4000000000000004
1512,-7.0
1513,-8.6
1514,-3.6
1515,1.4000000000000001
1516,-1.8
1517,-21.6
1518,-0.4
1519,-6.6000000000000005
1520,1.4000000000000001
1521,-14.200000000000001
1522,1.4000000000000001
1523,-1.0
1524,-4.4
1525,0.2
1526,-8.6
1527,1.0
1528,-0.8
1529,-18.2
1530,-1.2000000000000002
1531,-9.0
1532,-8.0
1533,-5.4
1534,-1.6
1535,-12.200000000000001
1536,-10.0
1537,-6.6000000000000005
1538,4.4
1539,-0.2
1540,-11.600000000000001
1541,-16.2
1542,-9.600000000000001
1543,-13.600000000000001
1544,0.6000000000000001
1545,-6.800000000000001
1546,1.0
1547,-2.0
1548,-12.200000000000001
1549,-9.200000000000001
1550,-8.0
1551,-6.2
1552,1.0
1553,-1.0
1554,-7.6000000000000005
1555,3.0
1556,-2.0
1557,1.0
1558,-6.4
1559,-6.6000000000000005
1560,0.4
1561,0.2
1562,-9.0
1563,-0.4
1564,-8.4
1565,-1.4000000000000001
1566,-1.4000000000000001
1567,0.6000000000000001
1568,-8.6
1569,0.0
1570,-15.8
1571,-11.600000000000001
1572,-12.0
1573,0.6000000000000001
1574,-10.200000000000001
1575,-5.0
1576,0.0
1577,-7.0
1578,-5.800000000000001
