,0
920,-129.20000000000002
921,-15.600000000000001
922,-21.200000000000003
923,-26.400000000000002
924,-208.0
925,-33.0
926,-126.0
927,-106.80000000000001
928,-19.8
929,-132.8
930,-43.2
931,-17.400000000000002
932,-20.8
933,-114.2
934,-13.600000000000001
935,-99.80000000000001
936,-43.0
937,-137.4
938,-119.4
939,-105.80000000000001
940,-23.6
941,-8.0
942,-39.6
943,-27.0
944,-154.60000000000002
945,-118.0
946,-117.60000000000001
947,-19.400000000000002
948,-36.4
949,-113.2
950,-108.0
951,-117.0
952,-25.6
953,-2.2
954,-129.4
955,-18.0
956,-127.4
957,-19.0
958,-44.800000000000004
959,-107.60000000000001
960,-43.2
961,-25.200000000000003
962,-36.800000000000004
963,-129.4
964,-15.4
965,-125.80000000000001
966,-11.0
967,-23.8
968,-38.6
969,-23.400000000000002
970,-36.0
971,-15.0
972,-11.8
973,-20.200000000000003
974,-22.0
975,-15.8
976,-111.60000000000001
977,-8.200000000000001
978,-17.8
979,-55.2
980,-37.6
981,-14.200000000000001
982,-102.4
983,-111.0
984,-112.80000000000001
985,-21.0
986,-140.20000000000002
987,-115.2
988,-30.400000000000002
989,-109.0
990,-40.400000000000006
991,-106.80000000000001
992,-204.20000000000002
993,-104.2
994,-3.0
995,-116.4
996,-34.800000000000004
997,-114.2
998,-22.200000000000003
999,-116.2
1000,-218.4
1001,-16.400000000000002
1002,-115.60000000000001
1003,-9.600000000000001
1004,-15.600000000000001
1005,-13.200000000000001
1006,-26.200000000000003
1007,-7.4
1008,-207.20000000000002
1009,-19.0
1010,-15.600000000000001
1011,-159.20000000000002
1012,-5.800000000000001
1013,-15.600000000000001
1014,-28.200000000000003
1015,-37.0
1016,-111.0
1017,-126.2
1018,-131.20000000000002
1019,-38.400000000000006
1020,-122.2
1021,-10.8
1022,-7.6000000000000005
1023,-110.2
1024,-215.20000000000002
1025,-10.600000000000001
1026,-18.6
1027,-9.4
1028,-14.0
1029,-31.200000000000003
1030,-35.800000000000004
1031,-12.8
1032,-56.800000000000004
1033,-33.4
1034,-12.8
1035,-18.0
1036,-126.80000000000001
1037,-107.60000000000001
1038,-32.0
1039,-203.4
1040,-14.200000000000001
1041,-211.8
1042,-105.0
1043,-23.6
1044,-42.400000000000006
1045,-19.6
1046,-19.400000000000002
1047,-222.8
1048,-111.2
1049,-25.0
1050,-109.2
1051,-9.4
1052,-112.0
1053,-209.0
1054,-21.6
1055,-118.2
1056,-24.8
1057,-38.0
1058,-114.80000000000001
1059,-117.0
1060,-14.200000000000001
1061,-27.8
1062,-24.6
1063,-18.6
1064,-20.0
1065,-20.400000000000002
1066,-210.20000000000002
1067,-23.200000000000003
1068,-28.0
1069,-116.0
1070,-9.8
1071,-13.8
1072,-213.20000000000002
1073,-112.2
1074,-6.2
1075,-34.800000000000004
1076,-10.600000000000001
1077,-13.0
1078,-20.6
1079,-19.6
1080,-204.20000000000002
1081,-26.6
1082,-22.400000000000002
1083,-114.4
1084,-105.80000000000001
1085,-22.8
1086,-28.6
1087,-24.6
1088,-8.8
1089,-22.400000000000002
1090,-10.600000000000001
1091,-18.2
1092,-117.2
1093,-40.400000000000006
1094,-20.0
1095,-12.200000000000001
1096,-210.20000000000002
1097,-13.4
1098,-18.400000000000002
1099,-114.60000000000001
1100,-114.0
1101,-15.8
1102,-13.8
1103,-7.800000000000001
1104,-105.80000000000001
1105,-7.4
1106,-27.200000000000003
1107,-51.0
1108,-302.8
1109,-13.600000000000001
1110,-21.6
1111,-108.80000000000001
1112,-19.8
1113,-37.800000000000004
1114,-215.20000000000002
1115,-24.200000000000003
1116,-18.6
1117,-14.0
1118,-10.4
1119,-111.4
1120,-2.6
1121,-19.8
1122,-26.200000000000003
1123,-4.800000000000001
1124,-42.6
1125,-108.4
1126,-17.0
1127,-132.20000000000002
1128,-10.0
1129,-10.600000000000001
1130,-19.200000000000003
1131,-103.0
1132,-13.8
1133,-109.0
1134,-3.0
1135,-12.4
1136,-96.2
1137,-19.400000000000002
1138,-10.200000000000001
1139,-16.400000000000002
1140,-4.4
1141,-14.600000000000001
1142,-2.8000000000000003
1143,3.6
1144,-13.4
1145,-25.0
1146,-19.400000000000002
1147,-31.0
1148,-13.0
1149,-97.80000000000001
1150,-5.4
1151,-12.0
1152,-12.0
1153,-100.4
1154,-207.60000000000002
1155,-12.8
1156,-12.600000000000001
1157,-18.8
1158,-15.200000000000001
1159,-110.4
1160,-19.200000000000003
1161,-90.0
1162,-17.0
1163,-17.0
1164,-15.4
1165,-112.2
1166,-13.200000000000001
1167,-9.200000000000001
1168,-19.8
1169,-117.0
1170,-15.200000000000001
1171,2.2
1172,-208.20000000000002
1173,-16.8
1174,-8.200000000000001
1175,-107.0
1176,-4.4
1177,-226.8
1178,1.6
1179,-33.2
1180,-35.2
1181,-133.4
1182,-9.8
1183,-130.4
1184,-1.0
1185,-4.2
1186,-6.800000000000001
1187,-11.8
1188,2.4000000000000004
1189,-112.0
1190,-14.4
1191,-21.0
1192,-4.6000000000000005
1193,-2.2
1194,-132.0
1195,-8.8
1196,-5.800000000000001
1197,-18.0
1198,-108.2
1199,-4.800000000000001
1200,-17.400000000000002
1201,-109.80000000000001
1202,-8.8
1203,-123.0
1204,-198.20000000000002
1205,-11.0
1206,-22.0
1207,-224.60000000000002
1208,-11.4
1209,-7.2
1210,-235.4
1211,-8.6
1212,-22.400000000000002
1213,-10.8
1214,-14.4
1215,-26.200000000000003
1216,-109.80000000000001
1217,-115.4
1218,-15.0
1219,-10.8
1220,-19.8
1221,-6.0
1222,-2.2
1223,-9.8
1224,-10.8
1225,-26.400000000000002
1226,-6.6000000000000005
1227,-108.60000000000001
1228,-11.8
1229,-25.0
1230,-14.0
1231,-12.4
1232,-18.0
1233,-105.80000000000001
1234,-11.200000000000001
1235,-10.200000000000001
1236,-254.60000000000002
1237,-103.4
1238,-5.800000000000001
1239,-16.6
1240,3.0
1241,-12.4
1242,-8.4
1243,-99.0
1244,-3.8000000000000003
1245,-20.8
1246,-14.0
1247,-2.2
1248,-7.2
1249,3.0
1250,-16.0
1251,-70.60000000000001
1252,-103.2
1253,5.2
1254,-14.600000000000001
1255,-20.6
1256,-7.0
1257,-115.4
1258,-6.6000000000000005
1259,-4.0
1260,-11.600000000000001
1261,-15.600000000000001
1262,-14.0
1263,-87.60000000000001
1264,-11.4
1265,-11.8
1266,-111.2
1267,-31.8
1268,-1.0
1269,-207.60000000000002
